,country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,mean,increase,increase_perc,NAME
41,NO,8.6,8.5,8.4,8.4,8.1,7.9,7.8,7.8,7.7,7.7,7.6,7.5,7.666666666666667,-0.16666666666666696,-2.173913043478265,Norway
42,PL,10.1,9.0,9.9,10.1,10.2,9.9,10.4,10.2,10.6,10.9,10.8,12.6,10.766666666666666,1.833333333333334,17.02786377708979,Poland
43,PT,9.9,10.0,9.7,10.2,10.2,10.1,10.5,10.7,10.7,11.0,10.9,12.0,10.866666666666667,1.1333333333333329,10.429447852760731,Portugal
44,RO,12.6,12.8,12.5,12.7,12.4,12.8,13.2,13.1,13.4,13.6,13.0,15.0,13.333333333333334,1.666666666666666,12.5,Romania
45,RS,14.2,14.2,14.0,14.2,14.0,14.2,14.6,14.3,14.8,14.6,14.6,16.9,14.666666666666666,2.2333333333333325,15.22727272727272,Serbia
46,RU,14.2,14.2,13.5,,,,,,,,,,,,,Russia
47,SE,9.7,9.6,9.5,9.7,9.4,9.2,9.3,9.2,9.1,9.1,8.6,9.5,8.933333333333332,0.5666666666666682,6.343283582089569,Sweden
48,SI,9.2,9.1,9.1,9.4,9.4,9.2,9.6,9.5,9.9,9.9,9.9,11.4,9.9,1.5,15.151515151515156,Slovenia
49,SK,9.8,9.9,9.6,9.7,9.6,9.5,9.9,9.6,9.9,10.0,9.8,10.8,9.9,0.9000000000000004,9.090909090909093,Slovakia
50,SM,,,6.8,7.1,7.5,7.7,7.1,7.6,8.2,7.1,7.2,,7.5,,,San Marino
51,TR,5.4,5.0,5.1,5.4,4.9,5.1,5.2,5.3,5.3,5.2,5.3,,5.266666666666667,,,Turkey
52,UA,15.4,15.3,14.6,14.6,14.6,,13.0,13.7,13.6,14.0,13.9,14.0,13.833333333333334,0.16666666666666607,1.2048192771084274,Ukraine
53,UK,9.0,8.9,8.7,8.9,9.0,8.8,9.2,9.1,9.2,9.2,9.0,,9.133333333333333,,,United Kingdom
54,XK,3.2,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.3,,4.766666666666667,,,
