freq,indic_de,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,GDEATHRT_THSP,NL	8.1 	8.2 	8.1 	8.4 	8.4 	8.3 	8.7 	8.7 	8.8 	8.9 	8.8 	9.7 p
A,GDEATHRT_THSP,NO	8.6 	8.5 	8.4 	8.4 	8.1 	7.9 	7.8 	7.8 	7.7 	7.7 	7.6 	7.5 
A,GDEATHRT_THSP,PL	10.1 	9.9 b	9.9 	10.1 	10.2 	9.9 	10.4 	10.2 	10.6 	10.9 	10.8 	12.6 
A,GDEATHRT_THSP,PT	9.9 	10.0 	9.7 	10.2 	10.2 	10.1 	10.5 	10.7 	10.7 	11.0 	10.9 	12.0 
A,GDEATHRT_THSP,RO	12.6 	12.8 	12.5 	12.7 	12.4 	12.8 	13.2 	13.1 	13.4 	13.6 	13.4 e	15.4 ep
A,GDEATHRT_THSP,RS	14.2 	14.2 	14.2 b	14.2 	14.0 	14.2 	14.6 	14.3 	14.8 	14.6 	14.6 	16.9 
A,GDEATHRT_THSP,RU	14.2 	14.2 	13.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDEATHRT_THSP,SE	9.7 	9.6 	9.5 	9.7 	9.4 	9.2 	9.3 	9.2 	9.1 	9.1 	8.6 	9.5 
A,GDEATHRT_THSP,SI	9.2 	9.1 	9.1 	9.4 	9.4 	9.2 	9.6 	9.5 	9.9 	9.9 	9.9 	11.4 
A,GDEATHRT_THSP,SK	9.8 	9.9 	9.6 	9.7 	9.6 	9.5 	9.9 	9.6 	9.9 	10.0 	9.8 	10.8 
A,GDEATHRT_THSP,SM	: 	: 	6.8 	7.1 	7.5 	7.7 	7.1 	7.6 	8.2 	7.1 	7.2 	: 
A,GDEATHRT_THSP,TR	5.4 	5.0 	5.1 	5.4 	4.9 	5.1 	5.2 	5.3 	5.3 	5.2 	5.3 	: 
A,GDEATHRT_THSP,UA	15.4 	15.3 	14.6 	14.6 	14.6 	: 	13.9 b	13.7 	13.6 	14.0 	13.9 	14.8 e
A,GDEATHRT_THSP,UK	9.0 	8.9 	8.7 	8.9 	9.0 	8.8 	9.2 	9.1 	9.2 	9.2 	9.0 p	: 
A,GDEATHRT_THSP,XK	3.2 	3.6 b	4.0 b	4.1 e	3.9 e	4.2 e	4.6 e	4.8 e	4.9 e	5.0 	5.3 	: 
